program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,21900.0,36061021900,319.0,251.0,271.15,20.149999999999977,591.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22000.0,36061022000,134.0,104.0,117.92,13.920000000000002,188.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22102.0,36061022102,35.0,27.0,31.5,4.5,43.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,22200.0,36061022200,277.0,216.0,240.99,24.99000000000001,404.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,22301.0,36061022301,223.0,171.0,198.47,27.47,304.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22302.0,36061022302,579.0,415.0,573.21,158.21000000000004,757.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22400.0,36061022400,78.0,61.0,70.2,9.200000000000003,117.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,22500.0,36061022500,257.0,193.0,236.44,43.44,294.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22600.0,36061022600,298.0,257.0,265.22,8.220000000000027,368.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22700.0,36061022700,169.0,126.0,157.17000000000002,31.170000000000016,187.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,22800.0,36061022800,57.0,43.0,51.870000000000005,8.870000000000005,68.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,22900.0,36061022900,223.0,169.0,202.93,33.93000000000001,277.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23000.0,36061023000,484.0,384.0,416.24,32.24000000000001,685.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23100.0,36061023100,205.0,159.0,178.35,19.349999999999994,245.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,23200.0,36061023200,360.0,283.0,309.6,26.600000000000023,605.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23300.0,36061023300,171.0,131.0,153.9,22.900000000000006,234.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23400.0,36061023400,146.0,111.0,132.86,21.860000000000014,223.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23501.0,36061023501,105.0,81.0,93.45,12.450000000000003,153.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,23502.0,36061023502,100.0,77.0,89.0,12.0,174.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,23600.0,36061023600,272.0,203.0,255.67999999999998,52.67999999999998,358.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23700.0,36061023700,181.0,140.0,161.09,21.090000000000003,237.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23801.0,36061023801,542.0,469.0,487.8,18.80000000000001,890.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,23900.0,36061023900,86.0,67.0,74.82,7.819999999999993,130.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,24100.0,36061024100,187.0,145.0,166.43,21.430000000000007,261.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,24200.0,36061024200,46.0,37.0,40.48,3.479999999999997,78.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,24301.0,36061024301,133.0,105.0,113.05,8.049999999999997,208.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,24500.0,36061024500,503.0,385.0,452.7,67.69999999999999,594.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,24700.0,36061024700,325.0,255.0,279.5,24.5,339.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,24900.0,36061024900,29.0,22.0,25.52,3.5199999999999996,33.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,25100.0,36061025100,60.0,45.0,55.800000000000004,10.800000000000004,52.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,25300.0,36061025300,338.0,266.0,290.68,24.680000000000007,435.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,25500.0,36061025500,69.0,55.0,57.96,2.960000000000001,74.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,25700.0,36061025700,72.0,56.0,63.36,7.359999999999999,94.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,25900.0,36061025900,56.0,43.0,49.28,6.280000000000001,81.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,26100.0,36061026100,707.0,559.0,600.9499999999999,41.94999999999993,1014.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,26300.0,36061026300,383.0,304.0,325.55,21.55000000000001,504.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,26500.0,36061026500,140.0,111.0,117.6,6.599999999999994,189.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,26700.0,36061026700,22.0,17.0,18.7,1.6999999999999993,24.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,26900.0,36061026900,309.0,243.0,265.74,22.74000000000001,387.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,27100.0,36061027100,244.0,193.0,207.4,14.400000000000006,321.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,27300.0,36061027300,29.0,23.0,24.07,1.0700000000000003,36.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,27700.0,36061027700,273.0,216.0,232.04999999999998,16.049999999999983,310.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,27900.0,36061027900,355.0,282.0,298.2,16.19999999999999,417.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,28300.0,36061028300,160.0,127.0,134.4,7.400000000000006,198.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,28500.0,36061028500,305.0,241.0,259.25,18.25,352.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,28700.0,36061028700,92.0,73.0,78.2,5.200000000000003,103.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,29100.0,36061029100,497.0,390.0,427.42,37.420000000000016,610.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,29300.0,36061029300,307.0,244.0,257.88,13.879999999999995,383.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,29500.0,36061029500,117.0,92.0,100.62,8.620000000000005,155.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,29900.0,36061029900,62.0,47.0,56.42,9.420000000000002,71.0,7848.0,1,1,0.0,1,1
